brand,items_found
Agrokor,62

Coca-Cola,36

Coca Cola,30

Agna group,16

Ina,10

na,10

Water Group doo,9

PepsiCo,6

Podravka,6

BIC,5

Knjaz Miloš,5

Rauch,5

Belje,5

AD Imlek,5

Atlantic,5

Pliva,4

Heineken,4

Procter & Gamble,3

Vindija,3

Radenska,3

Lidl,3

Mars,3

Atlantic Grupa,3

Kraft,3

Loreal,2

Lufra,2

Labello,2

Colgate-Palmolive,2

Chipita,2

Monarch Beverages,2

Ficosota,2

Schwartauer,2

P&G,2

Algida,2

Sveti Rok,2

Bobi,1

Poljo Posavec,1

Vichy,1

Essity,1

Schwarzkopf,1

Mill,1

Spar,1

Kappa Oil,1

Philip Morris,1

Bitau,1

Fami,1

Trebeshina,1

Marlboro,1

Ottogi,1

Haribo,1

Ginseng Inernational,1

Modri?a,1

Parmalat,1

AVON,1

Nivea,1

Camel,1

Tom Taylor,1

Carlsberg,1

PRC,1

Nikel,1

Maybelline,1

Sally Hansen,1

Nils,1

Garnier,1

SC Johnson,1

EGM,1

Pelikan Group,1

Dinamo Zagreb,1

Clorox,1

Nestle,1

Juliano Bianco,1

Oral B,1

Naturalis d.o.o.,1

Labud,1

Canon,1

Beiersdorf,1

Imperial Tobacco,1

Ferero,1

Ferrero,1

Gatorade,1

Pionir,1

CHITOS S.A.,1

Frosh,1

Jamnica,1

Solana Pag,1

Dove,1
