brand,items_found
PepsiCo,4289

Parle Products,2877

Perfetti Van Melle,2522

Karnataka Milk Co-Op,2379

Unilever,2025

Britannia Industries Ltd.,1904

Coca-Cola,1892

Mondelez,1585

ITC,1408

Amul,1403

CG Foods Pvt. Ltd.,1012

Mother Dairy,934

Kerala Co-op Milk Marketing Fed,907

Parle Agro,569

Aparna Group,476

Haldiram,440

Delhi Milk Scheme,434

Som Pan Products,421

Geetsagar Foods Pvt Ltd,374

Prachi Aqua,372

Galaxy,350

McDonald's,340

Dabur India Ltd.,301

P&G,295

Aavin,289

Kolhapur Zilla,283

Vimal Pan Masala,275

Ferrero SpA,269

Hatsun Agro Products,266

PVR Cinemas,255

Aachi Masala Foods Pvt. Ltd.,252

Chitale,237

Unknown,233

Ahinsa; Assam,221

Big Basket,219

Tata,207

Lotte,203

Echajaba Tea Estate,198

Marpe Foods pvt.ltd,190

Reckit Benckisser,184

Bikaji,180

Colgate-Palmolive,175

Thirumala Milk Products Pvt Limited,168

DS Group,155

Arush Jal,154

United Breweries,147

Pratap Snacks Pvt. Ltd.,146

Patanjali,139

Motas,134

CavinKare Pvt. Ltd.,125

Shree Giraj Supari,121

Jyothi Laboratories,119

Pran Foods Ltd.,118

Dabur India Ltd,118

Dodla Dairy Ltd,117

Johnson & Johnson,107

Derby,105

Balaji Wafers Pvt. Ltd,104

Kaleesuwari Refinery Pvt. Ltd,101

GSK,100

Nilgiris Dairy Farm Pvt. Ltd.,95

Coffee Day Global Ltd,94

Marico,94

Sab Miller,90

Daily Fresh,90

Yuksom Breweries,89

Himalayan Glaciers,86

Upta Tabacco,85

Sri Annapoorneshwara Enterprises,85

Shantou Yixin Foods Co.; Ltd. Guangdong; China,82

Kwality Foods,79

Three Leaves India Pvt Ltd,78

Jagdale,71

Harvest Gold Industries Private Limited,70

Mahadev Confectionary,68

Deepak Vegpro Pvt Ltd,66

Godrej,66

Parag Foods,65

Surekha Marketing,65

Arham foods,65

Veanus Corn Products Private Limited,65

L'Oreal,62

RBS Diary,62

Hector Beverages,61

Heritage Foods Ltd.,59

Guiltfree Industries Pvt. Ltd,57

Jalaram Gruh Udyog,56

Kellogg Company,56

Kashmiri PVT LTD,56

FoodStar Co.; Ltd,56

MTR Foods Pvt. Ltd.,53

O'Yes Quick Eats,53

Adani Wilmar,52

Trimurti Fragrance & Flaurshit,52

Himalaya Drug Company,51

United Spirits Ltd,50

Ozone Procon pvt ltd,48

Kendriya Bhandaar,48

Apple Polymers,48

Srilakshmi Agro Foods Pvt Limted,47

JB-Jagdale Industries,46

A V Thomas & co. ltd,46

ITC Limited,46

AVT,45

Diana Tea Co. Ltd.,45

Raja Udyog Pvt. Ltd,44

SRK Food Product Pvt Ltd,43

N.K.Venture Pvt. Ltd.,43

Sanjivani Beverages,43

Eastern Condiments,42

Arihant food prod,42

KeralaState Civil Supplies Co,41

DFM Foods,41

Fil Industries Ltd,41

General Mills,41

Bonn Group Of Industries,40

Amazon,39

Paras,39

Danone,39

Metro Milk Products,39

Mymensingh Agro Ltd,39

Amrutanjan Healthcare Pvt. Ltd.,38

Wrigley's,38

Krishna Sagar,37

Western India Bakers Pvt Ltd,37

Future Consumer Ltd,36

Varun Beverages,36

Ruchi Soya Industries Ltd,36

Tej Raam,36

Delta Foods Pvt. LTD.,36

Capital Food Pvt. Ltd,36

Modern Food Enterprises Pvt Ltd,36

Nagrik Dry Fruit,35

Sumeru,35

Hershey's,35

Sikkim Origin Package Drinking Water,33

Flair Writing PVT LTD,33

Pedilite India LTD,32

Wipro,32

Cargill,32

Beiersdorf Global AG,31

B.S.M,31

Alph Malts PVT. LTD.,30

Sakthi Masala Pvt. Ltd.,30

Reliance,29

Sikkimilk,29

Everest Spices,29

ID Fresh Food (India) Pvt Ltd,28

Agro Tech Foods Ltd,28

Trambak Industries,26

UNIBIC Foods India Pvt. Ltd.,26

Goa Milk Federation,25

Milco,25

Spar International,25

Jeevika Minerals,25

Deepam Foods,25

Laxmi Farsan,25

Monginis,25

Align retail,25

Khislay Snack Prod,24

NK Ventures,24

Priyagold Biscuits Private Limited,24

Bikanerwala,23

Ganesh Industries,23

Manjilas Food Tech Pvt Ltd,23

Healthier and Testier,23

ICDS; Government of India,23

Kudumbasree,23

Kerafed,23

Elite Food Pvt Ltd,23

RJ Corporation,23

Cheddhas,21

Surya Food Agro Ltd,21

Anapurna Food & Bev,21

Makson Pharma Pvt. Ltd.,21

Ajmi flour mills,21

Baba Ind,21

Milky Mist Dairy Food Private Limited,21

Power Soap Ltd.,20

Shailendra Rishi Raj,20

Shree Warna Sahakari,20

Singhania Foods,19

Barilla,19

Parag Milk Foods LTD,19

The Hershey Company,19

3M Company,18

Adyar Anada Bhavan Sweets India Private Ltd.,18

CB Shah & Co.,18

Girnar Food,18

Suriya Food,18

Teva Pharma India Pvt. Ltd.,18

VVD & Sons Pvt. Ltd.,18

IRCTC,18

Oriflame,17

A-ONE,17

Katraj Dairy,17

Century pharmaceuticals limited,17

Red Cow Dairy,17

Tugneshwar,17

Adyar Ananda Bhavan Sweets India Pvt. Ltd.,16

WS Foods PVT LTD,16

Ravi Foods Pvt Ltd,16

D mart,16

Lotus Herbals Pvt Ltd,16

Carlsberg,16

Paper Kraft MFG,16

Murari Lal Harish Chandra Jaiswal Pvt. Ltd.,15

KRBL Ltd.,15

M Coin,15

Tirupathi Balaji,15

Food Bowl,15

Bhagyalaxmi,15

Gokul Dairy,15

Intergrow Foods and Beverage,15

Yellow Diamond,14

MC Dowells,14

JMK Food Prod,14

Dream Bake,14

MK Food,14

Supreme Bakers,14

Saravana Stores,14

Cello Pens Pvt. Ltd.,14

Pidilite Industries Ltd.,13

Cipla Ltd,13

Goldwin Healthcare,13

Pravin Masalewale,13

Sresta Natural Bioproducts Pvt.Ltd,13

Jockey International,13

Prabhat Dairy,13

Baush & laumb,13

Mars,13

Rathna Packaging Pvt Ltd,13

Ice Beverages,13

Jain Dugdhalaya,13

Abbott Laboratories,13

Pidilite Industries Ltd,13

Glenmark Phamaceuticals,13

Govind Milk and Milk Products,12

Kraft Heinz,12

Punjab State Co-op Milk Prod. Fed. Ltd.,12

Herbal Neutrition JK Print Packs,12

Nice Water,12

Devnath Bildi,12

Khayul,12

Triptis Food Ltd.,12

Jaya Chickis Co. Private Limited,12

Zorabian Chicks,12

Meghana Foods; Koramangala,12

Mahananda Dairy,11

Naga Ltd.,11

Pitambari Products,11

KTV Health Food Pvt. Ltd,11

Trumboo,11

Devinath Food Ltd,11

Drangchu Beverages,11

Dr Pepper Snapple Group; Inc.,11

Jain Agro Food Product Private Limited,11

Budhani Bros,11

Aditya Birla,11

Ever Green Ind,11

Sujyog Venfers,11

Nabati Foods,11

Pfizer ltd,11

ABS enterprises,10

Babu Agencies,10

Hindustan Petroleum,10

Sree Annapoorna Foods Pvt. Ltd.,10

Marre Health Foods,10

Visalachi Soap Works Ltd.,10

JBM Industries South India,10

GRB Dairy Pvt. Ltd.,10

Krishna Dairy,10

Mauli Namkeen Products Pvt. Ltd,10

Ranbaxy,10

Vishnu Aroma Pvt Ltd,10

Sikkim Supreme,10

Avt Gauia,10

Green Dot Health Food,10

Pampers,10

Petrochem; Kolkata,10

Jabson's Foods,10

Bhadang Bhel,9

Muralya Dairy Products,9

Target Food,9

Mio Amore,9

FNG Agro Foods and Spices,9

ECOF Industries Pvt. Ltd.,9

Supermax PC PVT LTD,9

Nissin Foods,9

Bambino Agro Industries Ltd.,9

Prayag Foods,9

Ambadi Dairy Products,9

Dhanavilas Madras Sniff,9

Dev Snacks,8

Goan Port Wine Co.,8

MC Cain foods,8

Aargee Formula,8

S K Agro Tech,8

Daily Fresh Fruits India Pvt Lts,8

Iala Snacks,8

United Minerals,8

Emami Limited,8

SVM Agro Refinery,8

Eureka Forbes Ltd.,8

V,8

Swastiks Masalas and Food Products,8

Ceat,8

Ramalingam Agro Tech,8

Tropicana,8

KFC,8

Bakelite Food Processing Pvt Ltd.,8

Havmor,8

Laxmi trading,8

Amals Food Ind,7

Vikhari Brothers,7

Shelke Beverage,7

Bacardi Limited,7

United Biscuits,7

Allied Blenders & Distillers,7

Gujrat Tea Processors,7

Frigorifico Allana,7

Karnataka Soaps & Detergents Ltd.,7

Lehar Pharma,7

SM Foods,7

Nataraja Food Industries,7

Sivalinga Food Products,7

Thorat Milk,7

Amust Water Product,7

Lion Dates Impex Pvt. Ltd.,7

Original,7

Priya Food Products,7

Alkem laboratories,7

Akshaya Foods,7

Cholayil Pvt Ltd.,7

Facility Processes Milk,7

KKR Food products,7

Azad Bakers,7

Kachi Fairy,7

Onida,7

Y.V. Seshachalam & Co. Ltd,7

Poonam Enterprises,7

Unicharm,7

Axiom,7

Monika Corp. India,7

Oswal super market,6

Sukhdata Foods pvt ltd,6

Isha Foods and Spices,6

Mapro Foods Pvt. Ltd,6

B G Aqua ltd.,6

Galbon,6

Schreiber Dynamix Dairy,6

Amar Tea pvt. Ltd,6

Mahoor beveges,6

Cantu,6

Maharaja Gruh,6

Surya Foods,6

Bharat Food Product,6

AyurLab Herbals Pvt. Ltd.,6

Baskin Robbins,6

Murshidabad,6

SAJ Food Products (P) Ltd,6

Kormangala club,6

Vishal Personal Care Pvt. Ltd.,6

9 Phoset Food pvt. Ltd. ; Noida,6

Murugan Sweet & Snacks,6

S. Narendrakumar And Co.,6

Herbs Foods,6

Shree Renuka Sagar,6

Shikar Group,6

D M Foods,6

Dream bakes,6

Mala's Food,6

Shri Gir Raj Supari Traders,6

Dr Reddy's Laboratories,6

Lipton,6

Amrit Corp Ltd,6

Sunrise Food Pvt Ltd,6

Biotique Ayurveda,6

Vadilal Industries limited,6

Asian Paints,6

Bake Well,6

Prestige India,6

Laxmi food pvt. ltd.,6

Gupta Tobacco and Company,6

Gemini Edible & fats India Ltd,6

Mohan Meakin,6

Anand sweets and savouries,6

Green of Health Food,6

Creamline co. Ltd.,5

Dr. Otekar,5

Sikkim Breweries,5

Arihant Foods,5

Shantou Aldieces Cosmetics,5

Flipkart,5

Unichem Water Engineering Company,5

Nature's Fresh Pvt. Ltd.,5

Prince Food and Beverage; Sonarpur,5

Raj Oil Mills Ltd,5

Wills,5

Shri Krishna Fruit Processors Private Limited,5

OYESTER MEDISAFE,5

Top Anil Marketing Co.,5

Parakh Agro Industries Ltd.,5

Sri Krishna Sweets,5

Ashiwarya Healthcare,5

B La Dairylic,5

Baku,5

Hambard laboratories,5

Maha Chip,5

Maiyas,5

Arish Bakery,5

Avon Products inc,5

Lamba Food,5

Trushma Enter,5

Aarson Lozonges Factory,5

Global Associates,5

RMC Multi Shoppe,5

Taste the Wonder,5

DGS Aqua Pvt. Ltd.,5

Kanwal,5

Dzahuna Industries; Chalsa,5

Gloeosmith Consumer,5

Parshwa Foods,5

McCain Foods Limited,5

National Chikki,5

Fazal Aghan,5

Shivam Food Products,5

Sri Bhagya Lakshmi Foods,5

aakash dairy,5

Amalgam frozen Foods Pvt Ltd,5

Cream Line Dairy Products,5

LT Foods Ltd,5

Yamuna Rollers Flour Mills,4

Avanti Foods,4

Kate Food Industries,4

Milan Dairy Foods Pvt. Ltd,4

Patil,4

Ameya Foods,4

Lupin Ltd,4

Green Valley Bvg,4

Kerala Nanma Food Products,4

New Zaoera Maf.,4

Gaquar Enterprise,4

Norka Roots,4

Royal Foods,4

Crmkene Pvt Ltd,4

Arim Icecream India Pvt Ltd; 24 pgns(S),4

JM Agarwal,4

Mehta Industries,4

Seba Pharma,4

Field Fresh Foods Pvt Ltd,4

Montana Confectioneers,4

Bhagirathi,4

Goana Foods,4

Dispovan,4

BATA,4

CCP,4

Ripon Street,4

Nova Milk,4

Premium Food,4

Sanghvi Foods Pvt,4

Barka Foods,4

