brand,items_found
Coca-Cola,101

coca cola company,89

I.M.I. SPA,80

San Benedetto spa,66

Monticchio Gaudianello S.p.A. (Gruppo Norda),33

Ferrero,22

Unilever,20

eurospin,19

Haribo,19

Ferrero SpA,15

Danone,15

salcon plast,14

conad,11

Tempo,10

togni spa,10

san benedetto,10

Preziosi Food,10

san gemini spa,10

ferrarelle,9

Nerea SPA,9

Muller,8

SCA,8

sanbenedetto spa,8

co.ge.di spa,8

Lidl,8

Perfetti Van Melle,8

Mondelez,7

Yoga,7

Mars,7

coop,6

nepi spa,6

fonti di vinadio,6

Lucart spa,6

san pellegrino spa,6

Barilla,6

Lete,6

Modelez International (ex Kraft Food),5

UNILIVER,5

Kimberly-Clark,5

san carlo spa,5

perfetti,5

pepsi co,5

todis,4

sgam,4

P&G,4

ferrarelle spa,4

Onda Blu di Mario Comes & C. SAS,4

Katjies International,4

Fater,4

terranalisi SMC,4

lucart,3

stuffer,3

fonti di vinadio spa,3

SAN PELLEGRINO,3

ILIP SRL,3

Conserve Italia,3

Lete spa,3

cocacola company,3

CoGeDi spa,3

pejo fonte alpina,3

GOCCIA DI CARNIA,3

tavina spa,2

Witor's spa,2

hardiscount,2

biochimica spa,2

ambrosoli spa,2

MC Donald,2

Castellina spa,2

campari corporate,2

reckit benkiser,2

santa croce spa,2

PepsiCo,2

Auchan,2

FuturaLines srl,2

Klleenex,2

lavazza,2

Serra Dolciaria,2

PAVESI,2

snack food GmbH,2

siam srl,2

Peroni SpA,2

sibat tomarchio srl,2

Beniamino srl,2

FATER S.P.A,2

Artsana spa,2

ica food spa,2

Selex spa,1

de cecco company,1

Sofidel,1

Pier-Fabre,1

ROBERTO INDUSTRIA ALIM. SRL,1

elah,1

Miquel y Costas,1

deoleo,1

Terme Di Courmayeur S.P.A.,1

OXYLANE,1

lactalis,1

divella,1

Beiersdorf,1

Finazzi Dolciaria,1

LASKO,1

Industria Dolciaria srl,1

DOLCEZZE DEL FORNO,1

Bayer,1

Loacker spa,1

Reckitt Benckiser plc,1

consilia,1

Panealba srl,1

pata,1

tropical,1

Acqua Amata,Casamassima,1

SVETLO PIVO,1

lancaster,1

Oropan spa,1

kimberlyclarcs,1

Alfred Ritter GmbH&Co,1

DESPAR,1

dolciando,1

Kahla,1

RJR Tobacco Company,1

Rauch,1

latteria nom,1

gmbh,1

Italy D.S. crl,1

fontalba,1

phillip morris spa,1

Parmalat,1

Acque Minerali d'Italia,1

GOCCIA DI CARNIA SRL,1

Rewe Group,1

terme di g. sicula,1

Colussi spa,1

UNICHIPS WORLDWILD,1

parmalat spa,1

mirato spa,1

togni,1

Gilli srl,1

sodalis group,1

PERFETTI VAN MELLE ITALIA SRL,1

mevgal,1

samhae chemical,1

Protect & Gamble,1

la fonte srl,1

Galbani,1

Fonti del Vulture srl (Coca Cola company),1

DOLCIARIA VAL D'ENZA S.P.A.,1

danone company,1

Dopla spa,1

spumador spa,1

rocchetta spa,1

Penny Market,1

madel spa,1

fonti del vulture spa,1

Tamoil,1

Coprob sca,1

motul,1

BACH,1

san gemini,1

Ica Foods srl,1

fa.co.plast srl,1

Gruppo Casalini,1

Dr. Pepper Snapple Group Inc.,1

WORLD CART SRL,1

lindt&Sprungli,1

Bauli spa,1

Wepa Italia srl,1

STOJI?I? SO?A,1

jt international,1

jhonson,1

Liking spa,1

beierdorf,1

Radenska,1

Fiore Alimentare,1

S. CARLO GRUPPO ALIMENTARE,1

ika,1

Paper Service,1

Deoleo SA,1

EUROSPIN ITALIA,1

Wrigley,1

morato,1

MD spa,1

lauretana spa,1

Cadey,1

Mars Inc,1

supermarkets italiani,1

grandi salumifici italiani,1

siami spa,1
