brand,items_found
na,3497

Pepsi Co.,24

Winsynco,16

Coca Cola,13

Kraft,6

7Up,5

Nestle,4

Jamaican Royal Dairy Producers,2

National,2

Ricola Ltd.,2

Island Dist. Lmtd,2

British American Tobacco,2

KFC,2

Soldanza,1

Chevron,1

Walgreen,1

Tigaz Polyfood,1

Heinikin,1

Simple Delite,1

Int. Biscuit,1

Unilever,1

Carma Labs,1

Wiscisco,1

Wrigley,1

Betta Juice Lmtd,1

Asst. Brand Ind,1

Hershey,1

Suntory,1

Island Dairy Lmtd.,1

Excelsior,1

Sunshine Snacks,1

Country Style Cold Field,1

Honey Bun Lmtd,1
