brand,items_found
Unilever,5889

PT Torabika,5618

Universal Robina Corp,5447

Procter & Gamble,3965

Monde Nissin,3406

NutriAsia,2895

Zesto,2411

Colgate-Palmolive,2258

Liwayway,1915

Rep. Biscuit Corp,1319

Peerless,1128

Mondelez,1127

Sun Crest,791

JBC Food Corp,715

1st PGMC Enterprise,669

My San,549

Pure Snacks Food,427

Ajinomoto,406

Sappa Public co,373

WL Foods,364

Big E,352

Coca-Cola,337

Leslies Corp,292

Johnson & Johnson,217

Alaska,163

Lamoiyan Corp,160

IFP,159

Nutritive Snacks Food Corp.,159

Izumi Snacks Ind Corp,156

Green Cross,136

Del Monte,134

Columbia,101

Commonwealth Foods,90

San Miguel Pure Foods,85

Frank & Davids,82

Ricoa,81

Dr Pepper Snapple Group,78

Rogemson,74

Traditional Food Corp,68

KSA Food Products,66

Regent Food Corp,65

Newton Food Products,62

PepsiCo,59

Croley,52

Ecossential,44

Perfetti Van Melle,43

Nabisco,38

Cosmetic Asia,36

Stateline,30

Maggi,30

Annie Candy Mfg,25

SM,25

PRI Food,22

Regal International Snack Food Corp,21

Knorr,20

PT Sayap,19

Kino Consumer,19

Big & Food Corp,18

San Mig Corp,17

PH Spring Water,17

RFM,17

McDonald's,17

Pinnacle Foods Inc.,16

Centennial Food Corp,16

United Laboratories,16

Unitrade Merchandise,15

Associated British Foods,15

Jollibee,14

Snow Mountain,13

ACS,11

Mama Sita's Holding Company,9

Mandori Indonesia,9

Lorenzana,8

Malabon Soup & Oil Corp,8

CDO,7

Asia Brewery,6

First Vita Plus,4

Annies Sweets,3
