brand,items_found
PepsiCo,234

Coca-Cola,178

Frito Lay,90

Mars,86

Hershey,78

Niagara,66

McDonald's,61

Dart,56

Walmart,41

General Mills,33

YUM,25

Starbucks,25

Kelloggs,22

Kraft,21

Nabisco,20

Wrigley,19

AriZona Beverages,18

Dr Pepper Snapple Group,16

WILD,14

Nice Foods,14

Safeway,13

7 Eleven,13

Unilever,12

Kroger,11

Dunkin Donuts,11

Reynolds Consumer Products LLC,10

Wendy's,9

Snapplena Dr. Pepper,7

tootsie roll,7

Bimbo,6

Ocean Spray,5

Aldi; INC,5

Glaceau,4

Hostess,4

The Clorox Company,3

Oberto,3

National Grape Cooperative,3

Cadbury,3

Haribo,3

pepperidge farms,2

Dutch Bros,2

Publix,2

Kimberly clark,2

Colgate-Palmolive,2

Taco Bell,2

Burger King,2

Johnson & Johnson,1

VOSS of Norway,1

Dole,1

Sunny Delight Beverages CO,1

Cott Beverages,1

Charms,1

Costco,1

H J Heinz Co,1

Victoria's Secret,1

Danone,1

Walgreens,1

L'Oreal,1
