country,ocean,tonnes_plastic_per_year,kg_person_day,g per day,,bottles_per_day,km per day,walking_time,,"walking time is calculated from tonnes of plastic per day (tonnes per year/365). The average amount of plastic in a bottle is assumed to be 10g, the average height of a bottle is estimated at 20cm, and the average walking speed of a human is estimated as 5 km/hour"
China,Pacific,36485.60727,0.091914444,99960567.87,,9996056.787,1999211.357,399842.2715,,
Indonesia,Indian,14564.46286,0.047073707,39902637.97,,3990263.797,798052.7594,159610.5519,,
Philippines,Pacific,9550.757682,0.06184425,26166459.4,,2616645.94,523329.188,104665.8376,,
India,Indian,4768.648719,0.008764787,13064791.01,,1306479.101,261295.8202,52259.16405,,
Nigeria,Pacific,4565.070063,0.084901814,12507041.27,,1250704.127,250140.8254,50028.16508,,
Thailand,Pacific,4393.488752,0.108116422,12036955.49,,1203695.549,240739.1097,48147.82194,,
Bangladesh,Indian,4106.242182,0.030435087,11249978.58,,1124997.858,224999.5716,44999.91432,,
Egypt,Atlantic/Indian,3978.685171,0.121803865,10900507.32,,1090050.732,218010.1463,43602.02927,,
Malaysia,Pacific,3702.459176,0.112127383,10143723.77,,1014372.377,202874.4754,40574.89508,,
Pakistan,Indian,2331.442369,0.090277262,6387513.34,,638751.334,127750.2668,25550.05336,,
South Africa,Atlantic/Indian,2008.607753,0.133809822,5503034.941,,550303.4941,110060.6988,22012.13976,,
Brazil,Atlantic ,1952.879574,0.017290142,5350354.996,,535035.4996,107007.0999,21401.41998,,
Turkey,Atlantic,1748.180774,0.0391076,4789536.367,,478953.6367,95790.72733,19158.14547,,
Morocco,Atlantic,1392.752346,0.049103552,3815759.851,,381575.9851,76315.19703,15263.03941,,
Senegal,Atlantic,1360.320906,0.08590706,3726906.592,,372690.6592,74538.13183,14907.62637,,
Yemen,Indian,935.7380337,0.076626959,2563665.846,,256366.5846,51273.31691,10254.66338,,
United States,Atlantic/Pacific,838.6893076,0.0066822,2297778.925,,229777.8925,45955.5785,9191.1157,,
Somalia,Indian,535.7962203,0.04658484,1467934.85,,146793.485,29358.697,5871.7394,,
North Korea,Pacific,1253.33489,0.048118642,3433794.219,,343379.4219,68675.88437,13735.17687,,
Mexico,Atlantic/Pacific,458.5420108,0.012259564,1256279.482,,125627.9482,25125.58963,5025.117926,,
Ecuador,Pacific,438.9089317,0.046824433,1202490.224,,120249.0224,24049.80447,4809.960895,,
Japan,Pacific,438.8524803,0.0034029,1202335.563,,120233.5563,24046.71125,4809.34225,,
Colombia,Pacific,372.8032513,0.033677063,1021378.771,,102137.8771,20427.57541,4085.515082,,
Cuba,Atlantic,371.3472747,0.021908634,1017389.794,,101738.9794,20347.79587,4069.559174,,
Venezuela,Atlantic,351.473945,0.017419488,962942.3151,,96294.23151,19258.8463,3851.769261,,
Nicaragua,Atlantic/Pacific,347.7451384,0.06640767,952726.4065,,95272.64065,19054.52813,3810.905626,,
Guatemala,Atlantic/Pacific,341.4537619,0.104854483,935489.7587,,93548.97587,18709.79517,3741.959035,,
Russia,Pacific,287.2682514,0.020463176,787036.3052,,78703.63052,15740.7261,3148.145221,,
United Kingdom,Atlantic,221.525753,0.0042781,606919.8712,,60691.98712,12138.39742,2427.679485,,
Fiji,Pacific,164.7293256,0.150590432,451313.2208,,45131.32208,9026.264415,1805.252883,,
Costa Rica,Atlantic/Pacific,161.6234275,0.046511431,442803.9111,,44280.39111,8856.078222,1771.215644,,
Taiwan,Pacific,151.1633853,0.005639224,414146.261,,41414.6261,8282.92522,1656.585044,,
Spain,Atlantic,143.54069,0.0055167,393262.1643,,39326.21643,7865.243287,1573.048657,,
"Korea, South (Republic of Korea)",Pacific,118.5083912,9.23E-04,324680.5239,,32468.05239,6493.610478,1298.722096,,
Italy,Atlantic,106.6002233,0.0026537,292055.4063,,29205.54063,5841.108127,1168.221625,,
Maldives,Indian,98.0988295,0.219621395,268763.9164,,26876.39164,5375.278329,1075.055666,,
Germany,Atlantic,88.43284602,0.0096849,242281.7699,,24228.17699,4845.635399,969.1270797,,
Saudi Arabia,Indian,88.22916203,0.015669193,241723.7316,,24172.37316,4834.474632,966.8949263,,
Chile,Pacific,88.10363083,0.010602019,241379.8105,,24137.98105,4827.59621,965.5192419,,
Israel,Indian,64.68237517,0.007798159,177211.9868,,17721.19868,3544.239735,708.847947,,
Poland,Atlantic,58.29963721,0.013145038,159725.0335,,15972.50335,3194.500669,638.9001338,,
Australia,Pacific/Indian,52.79727452,0.0022077,144650.0672,,14465.00672,2893.001344,578.6002687,,
Greece,Atlantic,44.99975214,0.00398,123286.9922,,12328.69922,2465.739843,493.1479686,,
Cape Verde,Atlantic,38.11271224,0.049036247,104418.3897,,10441.83897,2088.367794,417.6735588,,
Canada,Atlantic/Pacific,30.99583785,0.0018407,84920.10371,,8492.010371,1698.402074,339.6804148,,
New Zealand,Pacific,28.49732161,0.0065872,78074.85372,,7807.485372,1561.497074,312.2994149,,
Norway,Atlantic,24.93303022,0.005572,68309.67184,,6830.967184,1366.193437,273.2386874,,
Belgium,Atlantic,11.61874164,0.0015827,31832.16886,,3183.216886,636.6433773,127.3286755,,
Sweden,Atlantic,10.13116129,9.50E-04,27756.60627,,2775.660627,555.1321255,111.0264251,,
Iceland,Atlantic,2.029843716,0.0056004,5561.21566,,556.121566,111.2243132,22.24486264,,
