Category: All categories

Country,Ocean plastic: (1/1/04 - 5/4/19)
New Zealand,100
Australia,66
Fiji,
United States,42
Norway,42
Canada,40
Singapore,37
Hong Kong,36
United Kingdom,36
South Africa,35
Ireland,32
St. Helena,
Denmark,25
United Arab Emirates,24
Czechia,22
Qatar,
Estonia,
Netherlands,21
Sweden,19
Philippines,16
Finland,15
Switzerland,14
Belgium,13
Malaysia,12
Costa Rica,
Portugal,10
Kuwait,
Slovakia,9
Austria,9
South Korea,8
Germany,7
India,6
Croatia,
Greece,5
Taiwan,5
Hungary,5
Thailand,5
Spain,5
Chile,5
Italy,4
Israel,4
Serbia,
Romania,4
Pakistan,4
Indonesia,4
Nigeria,
Saudi Arabia,3
France,3
Mexico,3
Vietnam,3
China,3
Egypt,
Colombia,2
Japan,2
Poland,2
Peru,
Brazil,2
Argentina,1
Russia,1
Turkey,1
Falkland Islands (Islas Malvinas),
Palau,
Marshall Islands,
Vanuatu,
Turks & Caicos Islands,
Solomon Islands,
American Samoa,
St. Kitts & Nevis,
Cayman Islands,
Timor-Leste,
Caribbean Netherlands,
Northern Mariana Islands,
Maldives,
St. Martin,
Sint Maarten,
Seychelles,
Isle of Man,
Bermuda,
Gibraltar,
U.S. Virgin Islands,
Guernsey,
Iceland,
Dominica,
British Virgin Islands,
Barbados,
Faroe Islands,
Jersey,
Belize,
Åland Islands,
Aruba,
Papua New Guinea,
St. Lucia,
Greenland,
Guam,
Malta,
Mauritius,
Monaco,
Brunei,
Antigua & Barbuda,
Bahamas,
Curaçao,
Grenada,
Swaziland,
Andorra,
Cambodia,
St. Vincent & Grenadines,
Jamaica,
Trinidad & Tobago,
Bhutan,
Myanmar (Burma),
Oman,
Cape Verde,
Namibia,
Bahrain,
Botswana,
Sierra Leone,
Congo - Brazzaville,
Puerto Rico,
Togo,
Cyprus,
Luxembourg,
Macau,
Sri Lanka,
French Polynesia,
Panama,
Zimbabwe,
Zambia,
Slovenia,
Madagascar,
Guyana,
Kenya,
Nepal,
Albania,
Martinique,
Cuba,
Malawi,
Guadeloupe,
Suriname,
Ghana,
Laos,
Mozambique,
Angola,
Mongolia,
New Caledonia,
Lebanon,
Rwanda,
Afghanistan,
Honduras,
Tanzania,
Cameroon,
Senegal,
Guatemala,
Armenia,
Nicaragua,
Lithuania,
Bangladesh,
Ecuador,
Dominican Republic,
Uganda,
Uruguay,
Latvia,
Bulgaria,
Georgia,
Uzbekistan,
Montenegro,
Bosnia & Herzegovina,
Kosovo,
Macedonia (FYROM),
Jordan,
Tunisia,
Paraguay,
Ethiopia,
Azerbaijan,
Kazakhstan,
Sudan,
Libya,
Réunion,
Palestine,
Kyrgyzstan,
El Salvador,
Syria,
Moldova,
Bolivia,
Ukraine,
Iraq,
Belarus,
Venezuela,
Morocco,
Iran,
Algeria,
Anguilla,
Antarctica,
French Southern Territories,
Burundi,
Benin,
Burkina Faso,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Congo - Kinshasa,
Cook Islands,
Comoros,
Christmas Island,
Djibouti,
Eritrea,
Western Sahara,
Micronesia,
Gabon,
Guinea,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
French Guiana,
Heard & McDonald Islands,
Haiti,
British Indian Ocean Territory,
Kiribati,
Liberia,
Liechtenstein,
Lesotho,
Mali,
Mauritania,
Montserrat,
Mayotte,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Chad,
Tajikistan,
Tokelau,
Turkmenistan,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
Samoa,
Yemen,
