Category: All categories

Month,Ocean plastic: (Worldwide)
2004-01,5
2004-02,7
2004-03,0
2004-04,0
2004-05,6
2004-06,4
2004-07,2
2004-08,2
2004-09,2
2004-10,4
2004-11,5
2004-12,2
2005-01,7
2005-02,2
2005-03,5
2005-04,10
2005-05,1
2005-06,1
2005-07,3
2005-08,5
2005-09,5
2005-10,2
2005-11,3
2005-12,8
2006-01,5
2006-02,6
2006-03,6
2006-04,5
2006-05,4
2006-06,2
2006-07,2
2006-08,5
2006-09,5
2006-10,9
2006-11,5
2006-12,5
2007-01,4
2007-02,2
2007-03,5
2007-04,3
2007-05,8
2007-06,7
2007-07,5
2007-08,6
2007-09,5
2007-10,11
2007-11,11
2007-12,9
2008-01,7
2008-02,17
2008-03,16
2008-04,22
2008-05,15
2008-06,13
2008-07,12
2008-08,14
2008-09,13
2008-10,12
2008-11,14
2008-12,10
2009-01,11
2009-02,12
2009-03,14
2009-04,22
2009-05,20
2009-06,16
2009-07,13
2009-08,21
2009-09,16
2009-10,15
2009-11,18
2009-12,9
2010-01,12
2010-02,14
2010-03,16
2010-04,26
2010-05,19
2010-06,14
2010-07,12
2010-08,11
2010-09,12
2010-10,12
2010-11,11
2010-12,10
2011-01,10
2011-02,9
2011-03,11
2011-04,12
2011-05,12
2011-06,7
2011-07,10
2011-08,8
2011-09,9
2011-10,11
2011-11,10
2011-12,9
2012-01,8
2012-02,10
2012-03,10
2012-04,12
2012-05,16
2012-06,10
2012-07,10
2012-08,8
2012-09,10
2012-10,11
2012-11,12
2012-12,10
2013-01,9
2013-02,11
2013-03,16
2013-04,13
2013-05,13
2013-06,9
2013-07,8
2013-08,9
2013-09,12
2013-10,11
2013-11,13
2013-12,9
2014-01,9
2014-02,11
2014-03,14
2014-04,15
2014-05,13
2014-06,12
2014-07,10
2014-08,9
2014-09,13
2014-10,13
2014-11,11
2014-12,12
2015-01,11
2015-02,15
2015-03,14
2015-04,18
2015-05,18
2015-06,13
2015-07,11
2015-08,11
2015-09,13
2015-10,14
2015-11,14
2015-12,13
2016-01,12
2016-02,19
2016-03,18
2016-04,24
2016-05,21
2016-06,13
2016-07,12
2016-08,9
2016-09,15
2016-10,15
2016-11,27
2016-12,17
2017-01,21
2017-02,28
2017-03,29
2017-04,35
2017-05,35
2017-06,28
2017-07,21
2017-08,21
2017-09,24
2017-10,29
2017-11,37
2017-12,30
2018-01,40
2018-02,44
2018-03,64
2018-04,78
2018-05,73
2018-06,69
2018-07,57
2018-08,55
2018-09,62
2018-10,65
2018-11,64
2018-12,50
2019-01,61
2019-02,61
2019-03,80
2019-04,100
