Category: All categories

Country,Plastic pollution: (1/1/04 - 5/4/19)
Solomon Islands,
Palau,
Fiji,100
Papua New Guinea,
Bhutan,
Brunei,
India,27
New Zealand,22
Maldives,
Myanmar (Burma),22
Mauritius,16
Nepal,16
Oman,16
South Africa,16
United Arab Emirates,16
Zambia,
Australia,11
Trinidad & Tobago,
Cambodia,11
Jamaica,
Philippines,11
Qatar,11
Singapore,11
Hong Kong,11
Bahrain,
United Kingdom,11
Ghana,
Sri Lanka,5
St. Helena,
Nigeria,5
Malaysia,5
United States,5
Ireland,5
Canada,5
Kuwait,
Bangladesh,5
Kenya,5
Pakistan,5
Norway,5
Saudi Arabia,<1
Puerto Rico,
Denmark,<1
Switzerland,<1
South Korea,<1
Latvia,
Thailand,<1
Netherlands,<1
Portugal,<1
Belgium,<1
Sweden,<1
China,<1
Vietnam,<1
Czechia,
Austria,<1
Taiwan,<1
Indonesia,<1
Tunisia,
Egypt,
Germany,<1
Finland,<1
Iraq,
Spain,<1
Kazakhstan,
Mexico,<1
Peru,<1
France,<1
Italy,<1
Romania,
Iran,
Chile,
Colombia,
Japan,<1
Turkey,<1
Poland,<1
Russia,<1
Brazil,<1
Falkland Islands (Islas Malvinas),
Svalbard & Jan Mayen,
American Samoa,
Tonga,
Vanuatu,
Caribbean Netherlands,
Samoa,
Micronesia,
British Virgin Islands,
St. Vincent & Grenadines,
Turks & Caicos Islands,
Anguilla,
Grenada,
Western Sahara,
Northern Mariana Islands,
Gibraltar,
Bermuda,
Belize,
Faroe Islands,
Timor-Leste,
Botswana,
Cayman Islands,
Swaziland,
Antigua & Barbuda,
Isle of Man,
South Sudan,
Åland Islands,
Jersey,
Lesotho,
St. Kitts & Nevis,
Seychelles,
Iceland,
Bahamas,
Gambia,
Monaco,
Guyana,
Zimbabwe,
St. Lucia,
Somalia,
Namibia,
Guam,
Macau,
Guernsey,
Malta,
Aruba,
Lebanon,
Tanzania,
Liberia,
French Polynesia,
Ethiopia,
Sierra Leone,
Suriname,
Togo,
Madagascar,
Curaçao,
Barbados,
Burkina Faso,
Luxembourg,
Haiti,
Rwanda,
Bolivia,
Afghanistan,
Cameroon,
Mongolia,
Martinique,
Malawi,
Guadeloupe,
Cyprus,
Laos,
Uganda,
Costa Rica,
Panama,
Mali,
Honduras,
Azerbaijan,
Congo - Kinshasa,
Kosovo,
Tajikistan,
Kyrgyzstan,
Armenia,
Jordan,
Slovenia,
Senegal,
Angola,
Lithuania,
Palestine,
Guatemala,
Albania,
Réunion,
Estonia,
Macedonia (FYROM),
Uzbekistan,
Mozambique,
Uruguay,
Montenegro,
Georgia,
Greece,
Libya,
Croatia,
El Salvador,
Bulgaria,
Ecuador,
Sudan,
Dominican Republic,
Israel,
Slovakia,
Morocco,
Algeria,
Côte d’Ivoire,
Moldova,
Nicaragua,
Belarus,
Yemen,
Serbia,
Hungary,
Syria,
Bosnia & Herzegovina,
Ukraine,
Argentina,
Venezuela,
Andorra,
Antarctica,
French Southern Territories,
Burundi,
Benin,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Christmas Island,
Djibouti,
Dominica,
Eritrea,
Gabon,
Guinea,
Guinea-Bissau,
Equatorial Guinea,
Greenland,
French Guiana,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
Liechtenstein,
St. Martin,
Marshall Islands,
Mauritania,
Montserrat,
Mayotte,
New Caledonia,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
Paraguay,
South Georgia & South Sandwich Islands,
San Marino,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Sint Maarten,
Chad,
Tokelau,
Turkmenistan,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
U.S. Virgin Islands,
Wallis & Futuna,
