Category: All categories

Month,Plastic pollution: (Worldwide)
2004-01,8
2004-02,5
2004-03,11
2004-04,6
2004-05,3
2004-06,7
2004-07,6
2004-08,4
2004-09,7
2004-10,9
2004-11,6
2004-12,5
2005-01,9
2005-02,10
2005-03,11
2005-04,3
2005-05,10
2005-06,4
2005-07,3
2005-08,5
2005-09,8
2005-10,4
2005-11,9
2005-12,4
2006-01,3
2006-02,3
2006-03,3
2006-04,2
2006-05,5
2006-06,5
2006-07,4
2006-08,2
2006-09,3
2006-10,6
2006-11,6
2006-12,3
2007-01,5
2007-02,5
2007-03,4
2007-04,4
2007-05,5
2007-06,3
2007-07,4
2007-08,3
2007-09,4
2007-10,9
2007-11,5
2007-12,6
2008-01,5
2008-02,7
2008-03,7
2008-04,8
2008-05,8
2008-06,8
2008-07,5
2008-08,5
2008-09,7
2008-10,7
2008-11,11
2008-12,7
2009-01,6
2009-02,7
2009-03,7
2009-04,10
2009-05,9
2009-06,9
2009-07,6
2009-08,7
2009-09,7
2009-10,10
2009-11,10
2009-12,8
2010-01,9
2010-02,9
2010-03,9
2010-04,10
2010-05,8
2010-06,9
2010-07,6
2010-08,7
2010-09,7
2010-10,8
2010-11,9
2010-12,6
2011-01,6
2011-02,6
2011-03,7
2011-04,8
2011-05,9
2011-06,8
2011-07,8
2011-08,7
2011-09,9
2011-10,9
2011-11,11
2011-12,8
2012-01,10
2012-02,8
2012-03,8
2012-04,7
2012-05,7
2012-06,7
2012-07,6
2012-08,7
2012-09,7
2012-10,9
2012-11,8
2012-12,7
2013-01,8
2013-02,7
2013-03,8
2013-04,10
2013-05,9
2013-06,6
2013-07,6
2013-08,5
2013-09,7
2013-10,9
2013-11,10
2013-12,6
2014-01,8
2014-02,9
2014-03,8
2014-04,10
2014-05,9
2014-06,9
2014-07,7
2014-08,8
2014-09,8
2014-10,10
2014-11,11
2014-12,9
2015-01,9
2015-02,9
2015-03,10
2015-04,11
2015-05,12
2015-06,9
2015-07,8
2015-08,9
2015-09,10
2015-10,13
2015-11,13
2015-12,10
2016-01,11
2016-02,12
2016-03,12
2016-04,17
2016-05,15
2016-06,11
2016-07,8
2016-08,9
2016-09,11
2016-10,12
2016-11,14
2016-12,11
2017-01,12
2017-02,15
2017-03,17
2017-04,15
2017-05,18
2017-06,12
2017-07,11
2017-08,13
2017-09,15
2017-10,17
2017-11,23
2017-12,17
2018-01,22
2018-02,26
2018-03,33
2018-04,57
2018-05,69
2018-06,100
2018-07,50
2018-08,47
2018-09,50
2018-10,56
2018-11,54
2018-12,43
2019-01,54
2019-02,56
2019-03,64
2019-04,69
