country,percent_sand,percent_water,prefix,ocean,tonnes_plastic_per_day,kg_per_person_per_day,g_per_person_per_year,bottles_per_person_per_year,km_per_year,walking_time_hours
Brazil,6.916056800000001,93.0839432,In,Atlantic,1952.88,0.0172901422965699,6310.901938248013,631.0901938248013,126,25
Morocco,19.641420800000002,80.35857920000001,In,Atlantic,1392.75,0.0491035515795,17922.7963265175,1792.2796326517498,358,72
Senegal,34.362823999999996,65.63717600000001,In,Atlantic,1360.32,0.085907059955325,31356.076883693622,3135.607688369362,627,125
Cuba,8.7634536,91.2365464,In,Atlantic,371.35,0.0219086343476549,7996.651536894038,799.6651536894038,160,32
Venezuela,6.9677952,93.0322048,In,Atlantic,351.47,0.01741948822005,6358.113200318249,635.811320031825,127,25
United Kingdom,1.71124,98.28876,In the,Atlantic,221.53,0.00427810001736908,1561.5065063397142,156.15065063397142,31,6
Germany,3.87396,96.12604,In,Atlantic,88.43,0.00968490001564111,3534.988505709005,353.4988505709005,71,14
Poland,5.2580152,94.7419848,In,Atlantic,58.3,0.0131450375693999,4797.938712830964,479.79387128309634,96,19
Cape Verde,19.6144988,80.3855012,In,Atlantic,38.11,0.0490362470657499,17898.230178998714,1789.8230178998715,358,72
Norway,2.2287999999999997,97.77120000000001,In,Atlantic,24.93,0.00557200000000006,2033.7800000000218,203.37800000000217,41,8
Belgium,0.63308,99.36692000000001,In,Atlantic,11.62,0.00158270000106832,577.6855003899368,57.76855003899368,12,2
Sweden,0.38,99.62,In,Atlantic,10.13,9.4990000018903e-4,346.713500068996,34.6713500068996,7,1
Iceland,2.24016,97.75984,In,Atlantic,2.03,0.00560040006132438,2044.1460223833988,204.41460223833988,41,8
Nigeria,33.9607256,66.0392744,In,Pacific,4565.07,0.084901814299085,30989.162219166024,3098.9162219166024,620,124
United States,2.67288,97.32712,In the,Atlantic/Pacific,838.69,0.00668220000279984,2439.0030010219416,243.90030010219417,49,10
Mexico,4.9038256,95.0961744,In,Atlantic/Pacific,458.54,0.01225956382232,4474.740795146799,447.47407951467994,89,18
Nicaragua,26.563068,73.436932,In,Atlantic/Pacific,347.75,0.06640767020195,24238.799623711748,2423.8799623711748,485,97
Colombia,13.4708252,86.52917479999999,In,Pacific,372.8,0.0336770630982,12292.128030843,1229.2128030843,246,49
Guatemala,41.9417932,58.0582068,In,Atlantic/Pacific,341.45,0.104854483079999,38271.88632419964,3827.1886324199636,765,153
Costa Rica,18.6045724,81.3954276,In,Atlantic/Pacific,161.62,0.04651143146016,16976.672482958398,1697.6672482958397,340,68
Canada,0.73628,99.26372,In,Atlantic/Pacific,31,0.0018407000010768,671.855500393032,67.1855500393032,13,3
Russia,8.1852704,91.8147296,In,Pacific,287.27,0.020463176415,7469.059391475,746.9059391475,149,30
China,36.7657776,63.23422240000001,In,Pacific,36485.61,0.0919144441676999,33548.77212121046,3354.877212121046,671,134
Philippines,24.7377,75.26230000000001,In the,Pacific,9550.76,0.061844249844,22573.15119306,2257.315119306,451,90
Thailand,43.2465688,56.7534312,In,Pacific,4393.49,0.108116422399799,39462.49417592664,3946.2494175926636,789,158
Malaysia,44.8509532,55.1490468,In,Pacific,3702.46,0.1121273834954,40926.494975821,4092.6494975820997,819,164
