country,percent_sand,percent_water,prefix,ocean,ocean_short,tonnes_plastic_per_day,kg_per_person_per_day,g_per_person_per_year,bottles_per_person_per_year,km_per_year,walking_time_hours
Brazil,6.916056800000000,93.0839432,In,Atlantic,ATL,1952.88,0.0172901422965699,6310.901938248010,631.0901938248010,126,25
Morocco,19.641420800000000,80.35857920000000,In,Atlantic,ATL,1392.75,0.0491035515795,17922.7963265175,1792.2796326517500,358,72
Senegal,34.362824000000000,65.63717600000000,In,Atlantic,ATL,1360.32,0.085907059955325,31356.076883693600,3135.607688369360,627,125
Cuba,8.7634536,91.2365464,In,Atlantic,ATL,371.35,0.0219086343476549,7996.651536894040,799.6651536894040,160,32
Venezuela,6.9677952,93.0322048,In,Atlantic,ATL,351.47,0.01741948822005,6358.113200318250,635.811320031825,127,25
United Kingdom,1.71124,98.28876,In the,Atlantic,ATL,221.53,0.00427810001736908,1561.5065063397100,156.15065063397100,31,6
Germany,3.87396,96.12604,In,Atlantic,ATL,88.43,0.00968490001564111,3534.988505709010,353.4988505709010,71,14
Poland,5.2580152,94.7419848,In,Atlantic,ATL,58.3,0.0131450375693999,4797.938712830960,479.79387128309600,96,19
Cape Verde,19.6144988,80.3855012,In,Atlantic,ATL,38.11,0.0490362470657499,17898.230178998700,1789.8230178998700,358,72
Norway,2.2288000000000000,97.77120000000000,In,Atlantic,ATL,24.93,0.00557200000000006,2033.7800000000200,203.37800000000200,41,8
Belgium,0.63308,99.36692000000000,In,Atlantic,ATL,11.62,0.00158270000106832,577.6855003899370,57.76855003899370,12,2
Sweden,0.38,99.62,In,Atlantic,ATL,10.13,9.4990000018903E-04,346.713500068996,34.6713500068996,7,1
Iceland,2.24016,97.75984,In,Atlantic,ATL,2.03,0.00560040006132438,2044.1460223834000,204.41460223834000,41,8
Nigeria,33.9607256,66.0392744,In,Atlantic,ATL,4565.07,0.084901814299085,30989.162219166000,3098.9162219166000,620,124
United States,2.67288,97.32712,In the,Atlantic/Pacific,ATL/PAC,838.69,0.00668220000279984,2439.0030010219400,243.90030010219400,49,10
Mexico,4.9038256,95.0961744,In,Atlantic/Pacific,ATL/PAC,458.54,0.01225956382232,4474.740795146800,447.47407951468000,89,18
Nicaragua,26.563068,73.436932,In,Atlantic/Pacific,ATL/PAC,347.75,0.06640767020195,24238.799623711700,2423.8799623711700,485,97
Colombia,13.4708252,86.52917480000000,In,Atlantic/Pacific,ATL/PAC,372.8,0.0336770630982,12292.128030843,1229.2128030843,246,49
Guatemala,41.9417932,58.0582068,In,Atlantic/Pacific,ATL/PAC,341.45,0.104854483079999,38271.88632419960,3827.1886324199600,765,153
Costa Rica,18.6045724,81.3954276,In,Atlantic/Pacific,ATL/PAC,161.62,0.04651143146016,16976.672482958400,1697.6672482958400,340,68
Canada,0.73628,99.26372,In,Atlantic/Pacific,ATL/PAC,31,0.0018407000010768,671.855500393032,67.1855500393032,13,3
Russia,8.1852704,91.8147296,In,Pacific,PAC,287.27,0.020463176415,7469.059391475,746.9059391475,149,30
China,36.7657776,63.23422240000000,In,Pacific,PAC,36485.61,0.0919144441676999,33548.77212121050,3354.877212121050,671,134
Philippines,24.7377,75.26230000000000,In the,Pacific,PAC,9550.76,0.061844249844,22573.15119306,2257.315119306,451,90
Thailand,43.2465688,56.7534312,In,Pacific,PAC,4393.49,0.108116422399799,39462.49417592660,3946.2494175926600,789,158
Malaysia,44.8509532,55.1490468,In,Pacific,PAC,3702.46,0.1121273834954,40926.494975821,4092.6494975821000,819,164
Ecuador,18.7297732,81.2702268,In,Pacific,PAC,438.91,0.0468244333904899,17090.918187528800,1709.0918187528800,342,68
Japan,1.36116,98.63884,In,Pacific,PAC,438.85,0.00340290000253516,1242.0585009253300,124.20585009253300,25,5
Fiji,60.2361728,39.7638272,In,Pacific,PAC,164.73,0.150590431774649,54965.50759774690,5496.550759774690,1099,220
Taiwan,2.2556896,97.7443104,In,Pacific,PAC,151.16,0.00563922417975,2058.3168256087500,205.83168256087500,41,8
South Korea,0.3692,99.6308,In,Pacific,PAC,118.51,9.23309043822509E-04,337.00780099521600,33.70078009952160,7,1
North Korea,19.247456800000000,80.7525432,In,Pacific,PAC,1253.33,0.0481186419551999,17563.304313648000,1756.3304313648000,351,70
Chile,4.2408076,95.7591924,In,Pacific,PAC,88.1,0.0106020194068799,3869.7370835111600,386.9737083511160,77,15
New Zealand,2.63488,97.36512,In,Pacific,PAC,28.5,0.00658720009353823,2404.328034141450,240.43280341414500,48,10
Australia,0.88308,99.11692,In,Pacific/Indian,PAC/IND,52.8,0.0022077000001446,805.8105000527790,80.58105000527790,16,3
South Africa,53.5239288,46.4760712,In,Atlantic/Indian,ATL/IND,2008.61,0.133809821947999,48840.58501101960,4884.058501101960,977,195
Indonesia,18.8294828,81.1705172,In,Indian,IND,14564.46,0.0470737068664199,17181.903006243300,1718.1903006243300,344,69
India,3.5059148000000000,96.4940852,In,Indian,IND,4768.65,0.00876478720447,3199.14732963155,319.91473296315500,64,13
Bangladesh,12.1740348,87.8259652,In,Indian,IND,4106.24,0.030435086577945,11108.806600949900,1110.8806600949900,222,44
Pakistan,36.1109048,63.8890952,In,Indian,IND,2331.44,0.090277262334665,32951.20075215270,3295.1200752152700,659,132
Yemen,30.650783600000000,69.3492164,In,Indian,IND,935.74,0.0766269586734049,27968.83991579280,2796.8839915792800,559,112
Somalia,18.633936000000000,81.366064,In,Indian,IND,535.8,0.0465848403233999,17003.466718041000,1700.3466718041000,340,68
Maldives,87.848558,12.151442000000000,In the,Indian,IND,98.1,0.219621395379679,80161.80931358280,8016.1809313582800,1603,321
Saudi Arabia,6.2676772000000000,93.7323228,In,Indian,IND,88.23,0.0156691930388499,5719.255459180210,571.9255459180210,114,23
Turkey,15.64304,84.35696,In,Atlantic/Mediterran.,ATL/MED,1748.18,0.03910760016897,14274.274061674000,1427.4274061674000,285,57
Spain,2.20668,97.79332,In,Atlantic/Mediterran.,ATL/MED,143.54,0.00551670010785148,2013.5955393657900,201.35955393657900,40,8
Greece,1.592,98.408,In,Mediterran.,MED,45,0.00398000018865199,1452.7000688579800,145.2700068857980,29,6
Italy,1.06148,98.93852,In,Mediterran.,MED,106.6,0.00265370002109691,968.6005077003720,96.8600507700372,19,4
Israel,3.1192636,96.8807364,In,Mediterran./Red Sea,MED/RED,64.68,0.00779815897181999,2846.3280247143000,284.63280247143000,57,11
Egypt,48.721546,51.278454000000000,In,Mediterran./Red Sea,MED/RED,3978.69,0.121803864985704,44458.41071978200,4445.841071978200,889,178
