country,percent_sand,percent_water,prefix,ocean,ocean_short,tonnes_plastic_per_day,kg_per_person_per_day,g_per_person_per_year,bottles_per_person_per_year,km_per_year,walking_time_hours,anim_interval_seconds
Brazil,6.9160568,93.0839432,In,Atlantic,ATL,1952.88,0.0172901422965699,6310.90193824801,631.090193824801,126,25,6.689803270316483
Morocco,19.6414208,80.3585792,In,Atlantic,ATL,1392.75,0.0491035515795,17922.7963265175,1792.27963265175,358,72,10.168774389715606
Senegal,34.362824,65.637176,In,Atlantic,ATL,1360.32,0.085907059955325,31356.0768836936,3135.60768836936,627,125,12.378218631633239
Cuba,8.7634536,91.2365464,In,Atlantic,ATL,371.35,0.0219086343476549,7996.65153689404,799.665153689404,160,32,34.796494790399045
Venezuela,6.9677952,93.0322048,In,Atlantic,ATL,351.47,0.01741948822005,6358.11320031825,635.811320031825,127,25,30.816985167343187
United Kingdom,1.71124,98.28876,In the,Atlantic,ATL,221.53,0.00427810001736908,1561.50650633971,156.150650633971,31,6,46.686084025879154
Germany,3.87396,96.12604,In,Atlantic,ATL,88.43,0.00968490001564111,3534.98850570901,353.498850570901,71,14,100.95132555445078
Poland,5.2580152,94.7419848,In,Atlantic,ATL,58.3,0.0131450375693999,4797.93871283096,479.793871283096,96,19,200.82362208254355
Cape Verde,19.6144988,80.3855012,In,Atlantic,ATL,38.11,0.0490362470657499,17898.2301789987,1789.82301789987,358,72,337.38224768013384
Norway,2.2288,97.7712,In,Atlantic,ATL,24.93,0.00557200000000006,2033.78000000002,203.378000000002,41,8,375.2978374714632
Belgium,0.63308,99.36692,In,Atlantic,ATL,11.62,0.00158270000106832,577.685500389937,57.7685500389937,12,2,1149.763090075275
Sweden,0.38,99.62,In,Atlantic,ATL,10.13,9.4990000018903e-4,346.713500068996,34.6713500068996,7,1,1466.5190448794351
Iceland,2.24016,97.75984,In,Atlantic,ATL,2.03,0.00560040006132438,2044.1460223834,204.41460223834,41,8,5270.60049521567
Nigeria,33.9607256,66.0392744,In,Atlantic,ATL,4565.07,0.084901814299085,30989.162219166,3098.9162219166,620,124,3.703613748026552
United States,2.67288,97.32712,In the,Atlantic/Pacific,ATL/PAC,838.69,0.00668220000279984,2439.00300102194,243.900300102194,49,10,11.449961918605272
Mexico,4.9038256,95.0961744,In,Atlantic/Pacific,ATL/PAC,458.54,0.01225956382232,4474.7407951468,447.47407951468,89,18,31.118113358048927
Nicaragua,26.563068,73.436932,In,Atlantic/Pacific,ATL/PAC,347.75,0.06640767020195,24238.7996237117,2423.87996237117,485,97,37.358144146050115
Colombia,13.4708252,86.5291748,In,Atlantic/Pacific,ATL/PAC,372.8,0.0336770630982,12292.128030843,1229.2128030843,246,49,34.21381377998649
Guatemala,41.9417932,58.0582068,In,Atlantic/Pacific,ATL/PAC,341.45,0.104854483079999,38271.8863241996,3827.18863241996,765,153,34.44175879570372
Costa Rica,18.6045724,81.3954276,In,Atlantic/Pacific,ATL/PAC,161.62,0.04651143146016,16976.672482958402,1697.66724829584,340,68,74.92475070784887
Canada,0.73628,99.26372,In,Atlantic/Pacific,ATL/PAC,31,0.0018407000010768,671.855500393032,67.1855500393032,13,3,396.2117618055821
Russia,8.1852704,91.8147296,In,Pacific,PAC,287.27,0.020463176415,7469.059391475,746.9059391475,149,30,39.04928511122336
China,36.7657776,63.2342224,In,Pacific,PAC,36485.61,0.0919144441676999,33548.7721212105,3354.87721212105,671,134,0.35756250198074385
Philippines,24.7377,75.2623,In the,Pacific,PAC,9550.76,0.061844249844,22573.15119306,2257.315119306,451,90,1.674188701481301
Thailand,43.2465688,56.7534312,In,Pacific,PAC,4393.49,0.108116422399799,39462.4941759266,3946.24941759266,789,158,3.0684828084318387
Malaysia,44.8509532,55.1490468,In,Pacific,PAC,3702.46,0.1121273834954,40926.494975821,4092.6494975821,819,164,3.366289640988608
Ecuador,18.7297732,81.2702268,In,Pacific,PAC,438.91,0.0468244333904899,17090.9181875288,1709.09181875288,342,68,28.830885444309917
Japan,1.36116,98.63884,In,Pacific,PAC,438.85,0.00340290000253516,1242.05850092533,124.205850092533,25,5,22.034498638024576
Fiji,60.2361728,39.7638272,In,Pacific,PAC,164.73,0.150590431774649,54965.5075977469,5496.55075977469,1099,220,64.02330330499375
Taiwan,2.2556896,97.7443104,In,Pacific,PAC,151.16,0.00563922417975,2058.31682560875,205.831682560875,41,8,68.97872842067532
South Korea,0.3692,99.6308,In,Pacific,PAC,118.51,9.23309043822509e-4,337.007800995216,33.7007800995216,7,1,93.44924596461037
North Korea,19.2474568,80.7525432,In,Pacific,PAC,1253.33,0.0481186419551999,17563.304313648,1756.3304313648,351,70,10.362508486509993
Chile,4.2408076,95.7591924,In,Pacific,PAC,88.1,0.0106020194068799,3869.73708351116,386.973708351116,77,15,144.96697272279104
New Zealand,2.63488,97.36512,In,Pacific,PAC,28.5,0.00658720009353823,2404.32803414145,240.432803414145,48,10,339.6210065486807
